season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2012-2013,Liga FUTVE,Apertura,Jornada 14,UPkPjKEh,2012-11-18T22:30:00+00:00,2012-11-18T18:30:00-04:00,Zamora,Mineros,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 13,EyIJZRw1,2012-11-21T23:30:00+00:00,2012-11-21T19:30:00-04:00,Dep. Táchira,Zamora,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,8GlTkvUb,2012-11-24T19:30:00+00:00,2012-11-24T15:30:00-04:00,La Guaira,Zamora,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,4rrxlIbB,2012-11-25T20:30:00+00:00,2012-11-25T16:30:00-04:00,Dep. Táchira,Portuguesa,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,fXzkoGrU,2012-11-25T20:30:00+00:00,2012-11-25T16:30:00-04:00,Llaneros,El Vigía,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,dtNGtzio,2012-11-25T20:30:00+00:00,2012-11-25T16:30:00-04:00,Miranda,Zulia,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,b5stmxEH,2012-11-25T20:30:00+00:00,2012-11-25T16:30:00-04:00,Trujillanos,Aragua,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,xdtpndTN,2012-11-25T20:30:00+00:00,2012-11-25T16:30:00-04:00,Yaracuyanos,Caracas,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,AqBb5JTo,2012-11-25T21:30:00+00:00,2012-11-25T17:30:00-04:00,Estudiantes M.,Atl. Venezuela,1,4,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,MJE24wqh,2012-11-25T21:30:00+00:00,2012-11-25T17:30:00-04:00,Monagas,Lara,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 15,juvYlbq5,2012-11-25T22:30:00+00:00,2012-11-25T18:30:00-04:00,Mineros,Dep. Anzoátegui,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,4r473cbb,2012-12-02T19:30:00+00:00,2012-12-02T15:30:00-04:00,Atl. Venezuela,Miranda,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,YNeOaFcN,2012-12-02T19:30:00+00:00,2012-12-02T15:30:00-04:00,El Vigía,Yaracuyanos,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,rZ2B2HD4,2012-12-02T19:30:00+00:00,2012-12-02T15:30:00-04:00,Portuguesa,Mineros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,C87F1yTA,2012-12-02T20:00:00+00:00,2012-12-02T16:00:00-04:00,Zulia,Llaneros,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,ja6J0erH,2012-12-02T21:30:00+00:00,2012-12-02T17:30:00-04:00,Caracas,Monagas,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,nRaSbZCT,2012-12-02T21:30:00+00:00,2012-12-02T17:30:00-04:00,Dep. Anzoátegui,La Guaira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,46nffgLp,2012-12-02T21:30:00+00:00,2012-12-02T17:30:00-04:00,Lara,Dep. Táchira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,rcobgDzi,2012-12-02T22:30:00+00:00,2012-12-02T18:30:00-04:00,Aragua,Estudiantes M.,3,3,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 16,WShW15vi,2012-12-02T22:30:00+00:00,2012-12-02T18:30:00-04:00,Zamora,Trujillanos,5,2,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,AJiz1Pgc,2012-12-08T19:30:00+00:00,2012-12-08T15:30:00-04:00,La Guaira,Portuguesa,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,Iqera3O9,2012-12-09T20:30:00+00:00,2012-12-09T16:30:00-04:00,Dep. Táchira,Caracas,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,8Ymed18S,2012-12-09T20:30:00+00:00,2012-12-09T16:30:00-04:00,Llaneros,Atl. Venezuela,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,AszNiLGq,2012-12-09T20:30:00+00:00,2012-12-09T16:30:00-04:00,Miranda,Aragua,3,2,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,08pmbNwG,2012-12-09T20:30:00+00:00,2012-12-09T16:30:00-04:00,Trujillanos,Dep. Anzoátegui,5,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,vaqicsgM,2012-12-09T20:30:00+00:00,2012-12-09T16:30:00-04:00,Yaracuyanos,Zulia,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,h6PRjuWk,2012-12-09T21:30:00+00:00,2012-12-09T17:30:00-04:00,Estudiantes M.,Zamora,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,4tiv0q93,2012-12-09T21:30:00+00:00,2012-12-09T17:30:00-04:00,Mineros,Lara,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 17,4tTVkaod,2012-12-09T21:30:00+00:00,2012-12-09T17:30:00-04:00,Monagas,El Vigía,3,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,0fqIW679,2013-01-19T20:30:00+00:00,2013-01-19T16:30:00-04:00,Llaneros,Dep. Táchira,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,jP1R9q0d,2013-01-19T20:30:00+00:00,2013-01-19T16:30:00-04:00,Miranda,Mineros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,vue9YSxc,2013-01-20T20:00:00+00:00,2013-01-20T16:00:00-04:00,Atl. Venezuela,Zulia,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,IVgDXnh3,2013-01-20T20:30:00+00:00,2013-01-20T16:30:00-04:00,Trujillanos,Portuguesa,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,bu2LVQMF,2013-01-20T20:30:00+00:00,2013-01-20T16:30:00-04:00,Yaracuyanos,Monagas,2,2,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Clausura,Jornada 1,h21PUpxM,2013-01-20T21:30:00+00:00,2013-01-20T17:30:00-04:00,Estudiantes M.,La Guaira,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
